category_id,views,comments_disabled,ratings_disabled,channel_text,difference_d,difference_h,published_year,published_month,trending_year,trending_month
23,1611984,"""False""","""False""","If Commercials were Real Life - Daytona 500/Apple iPad Zebra Corner   apple ipad commercial|""whats a computer""|""whats a computer commercial""|""daytona 500 commercial""|""chevy""|""mahk""|""jd power""|""if real people commercials were real life""|""if commercials were real life""|""if commercials were honest""|""chevy silverado""|""ford f-150""",2.0,57.0,2018,2,2018,2
28,468840,"""False""","""False""","Is the Surface Book 2 a MacBook Pro Killer? Austin Evans   surface book|""surface book 2""|""microsoft surface book 2""|""microsoft surface book""|""surface""|""microsoft surface""|""macbook""|""macbook pro""|""surface book 2 review""|""new surface book""|""new surface""|""microsoft""|""windows 10""|""apple""|""laptop""|""tablet""|""review""|""windows""|""tech""|""austin evans""",4.0,105.0,2017,11,2017,11
17,1267977,"""False""","""False""","Bellator 187: Conor McGregor storms the Bellator MMA Cage BellatorMMA   MMA|""Mixed Martial Arts""|""Sports""|""Bellator""|""Bellator MMA""|""Fighting""|""Fight""|""Fighter""|""UFC""|""Ultimate Fighting Championship""|""Strikeforce""|""WWE""|""Punch""|""Kick""|""Grappling""|""MMA highlights""|""MMA KO""|""MMA Knockouts""|""MMA best moments""|""MMA fights""|""MMA moves""|""MMA best fights""|""Analysis""|""Sports Analysis""|""Breakdown""|""Boxing""|""Martial Arts""|""Karate""|""BJJ""|""Brazilian Jiu-Jitsu""|""Judo""|""Taekwondo""|""Wrestling""|""Combat""|""Submission""|""Knock out""|""KO""|""Spike""|""Spike TV""|""Sports Highlights""|""Conor McGregor""",6.0,148.0,2017,11,2017,11
24,292107,"""False""","""False""","i have a condition that makes me feel like i'm dreaming all the time doddlevloggle   condition|""mental""|""health""|""depression""|""derealisation""|""depersonalisation""|""dissociation""|""DP/DR""|""lyme""|""disease""|""dreaming""|""anxiety""|""help""",0.0,23.0,2017,12,2017,12
28,175608,"""False""","""False""","Making Sandals with Zip-Ties and a Laser William Osman   laser cutter|""william osman""|""crappy science""|""sandals""|""flip flops""|""laser sandals""|""zip ties""|""diy""|""how to""|""make sandals""|""tap dancing""|""zip tie""|""laser""",4.0,105.0,2017,11,2017,11
25,144612,"""False""","""False""","North Korea is afraid of Samsung cell phones Beme News   Samsung|""Note8""|""north korea""|""olympics""|""olympics 2018""|""Iran""|""kim jong-un""|""kim jong un""|""kpop""|""k-pop""|""bemenews""|""casey neistat""|""cnn""|""casey neistat beme""|""beme""|""note 8""",1.0,32.0,2018,2,2018,2
22,3006287,"""False""","""False""","$40 Gym Vs. $10,000 Gym BuzzFeedBlue   BuzzFeed|""BuzzFeed Worth It""|""$$""|""Worth It Lifestyle""|""Worth It""|""cheap vs. expensive""|""steven lim""|""kate sosa""|""gyms""|""la palestra""|""laac""|""wellness""|""physical activity""|""ac4""|""eco friendly""|""lifestyle""|""health""|""fitness""|""health & fitness""|""gym""|""$$$""|""workout""|""working out""|""equipment""|""exercise equipment""|""gym memberships""|""buzzfeed steven""|""high vs low""|""fit""",1.0,32.0,2018,6,2018,6
20,1467488,"""False""","""False""","Nintendo Direct Mini 1.11.2018 Nintendo   nintendo|""play""|""game""|""gameplay""|""fun""|""video game""|""kids""|""action""|""adventure""|""rpg""|""nintendo direct""|""nintendo switch""|""TWEWY""|""Pokken Tournament DX""|""Kirby Star Allies""|""Kirby""|""DQ Builders Dragon Quest Builders""|""Hyrule Warriors""|""Mario Tennis""|""Ys8""|""SMO""|""Super Mario Odyssey""|""SNK HEROINES""|""Mario Rabbids""|""Mario + Rabbids Kingdom Battle""|""PAYDAY 2""|""Fe""|""Celeste""|""Donkey Kong""|""Donkey Kong Country Tropical Freeze""|""Dark Souls""|""Dark Souls Remastered""|""Nintendo Direct Mini""|""1.11.2018""|""luigi""|""Luigi’s Balloon World""",0.0,10.0,2018,1,2018,1
24,619540,"""False""","""False""","Jeopardy! First: Tiebreaker | JEOPARDY! Jeopardy!   Alex Trebek (TV Personality)|""double jeopardy!""|""exclusive jeopardy""|""Jeopardy questions""|""think music""|""Jeopardy! best moments""|""tv program""|""Merv Griffin""|""Official Jeopardy!""|""let's play""|""Game Show (TV Genre)""|""reality games""|""play jeopardy""|""Jeopardy! (TV Program)""|""jeopardy!""",0.0,6.0,2018,3,2018,3
28,145445,"""False""","""False""","Watch SpaceX Launch A Tesla Roadster To Mars On The Falcon Heavy Rocket — And Why It Matters Tech Insider   Tech Insider|""TI""|""Tech""|""Science""|""Innovation""|""Digital culture""|""Design""|""Technology""|""Tesla""|""SpaceX""|""Elon Musk""|""Mars""|""Space""|""Space exploration""|""Tesla roadster""",0.0,0.0,2018,2,2018,2
10,7823701,"""False""","""False""","LSD - Audio ft. Sia, Diplo, Labrinth SiaVEVO   Audio lsd|""Diplo""|""Sia""|""Labrinth""|""LSD""|""LSD Band""|""LSD Music""|""LSD official""|""LSD Audio""|""Audio Video""|""Labrinth Sia Diplo present LSD""|""Labyrinth""|""LSD video""|""lsd music video""|""Labrinth Sia Diplo band""|""LSD YouTube""|""LSD Vevo""|""Audio Diplo""|""Audio Sia""|""Audio Labrinth""|""Sia Diplo Band""|""play that audio""|""without the rhythm""|""sia new music""|""diplo new music""|""lsd new song""|""LSD - Audio (Official Video)""|""wes pentz""|""sia furler""|""we can't live on without the rhythm""",7.0,179.0,2018,5,2018,5
